Text,Language,Status
คุณนายสว เชื่อเถอะ คุณเอาเวลา ไปใส่ใจชาวอเมริกันดีกว่า สนใจเรื่องเพ้อเจ้อพวกนี้,Thai,Valid
ต้องให้บอกอีกกี่ครั้ง คุณจะมาตามอำเภอใจไม่ได้ ฟังนะ อแมนด้า แทนเนอร์ไม่อยู่แล้ว,Thai,Valid
รู้มั้ย มีเด็กสาวคนนึงที่โรงเรียน อลิซาเบธ เคิร์ซเนอร์ แม่ของเธอกินซูชิเยอะมาก และมีหนอนในนั้น,Thai,Valid
ว่าเธอไม่รู้ว่าเขาคือใคร เธอให้ฉันตีวงให้แคบลง ถึงซิกกี้ มือกลองหรือผู้ชายคนนั้นที่เธอเจอ ที่เมืองออเรนจ์ในบาร์,Thai,Valid
35 40 และอีก 10 เป็น 50 ค่ะ,Thai,Valid
ผมรอ 2 3 วัน แล้วโทรไปถามว่าคุณเป็นยังไง,Thai,Valid
ได้ ผมจะเอาของ ๆ ผมคืน โอเคนะ,Thai,Valid
ถ้า Zoom ใช้เจ้าสิ่งนี้ เป็นสะพานเคลื่อนย้ายคน จาก Earth 2 บางทีความเร็วอาจช่วยได้,Thai,Valid
ลูกวัว เข้าไปในท้องแม่ได้อย่างไร How does the calf get into the mammy s belly,Thai,Valid
ไม่ต้อง เฮ้ ที่รัก เลย ฉันไม่อยากเชื่อเลย ว่าคุณจะให้ฉันนั่งเป็นห่วงอยู่ทั้งคืน,Thai,Valid
บีลานนา ทอร์เรส ผู้มุ่งมั่น และหนุ่มน้อย แฮร์รี่ คิม เร่งนำจานบินเดลต้าออกจาก โวยาจเจอร์เพื่อค้นหาสมบัติ,Thai,Valid
ถ้าฉันรู้จักพวกบ้านี่ และฉันก็เป็นพวกบ้านี่เหมือนกัน พวกเขาแค่อยากพาฉันไป ที่สโมสรโง่ๆ ของพวกเขา แล้วถามคำถามมากมาย ที่ทำให้ฉันเสียเวลา,Thai,Valid
ใช่ เปล่า ไม่รู้ ไม่นะ สงสัยอากาศจะร้อนไป,Thai,Valid
อย่าเล่นแง่ นีล เรารู้ว่าเป็นหนึ่งในชื่อปลอมนาย นายสร้างตัวละครนี้ขึ้น เพื่อฟอกเงินที่หมู่เกาะคานารีตอนปี 2004,Thai,Valid
ประมาณว่า สิ่งที่ชาร์ลี อยากทำน้อยที่สุดคือ แต่งงาน สิ่งที่อยากทำมากที่สุด คือมีลูก,Thai,Valid
